id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,response,RT,trialtype,ethicfreq,norm_mean,norm_sd,norm_se
,,,,,,,,,,,,,,,,
172,22,1,2,0,0,practice,3.15E-06,432.3770626,stimuli/prac_217_1.png,l,432.3575357,harmless,NA,NA,NA,NA
,,,,,,,,,,,,,,,,
172,22,1,2,1,1,1,4.190423321,9.32113645,stimuli/293_zb.png,l,5.120395154,awful,0.333,3.677966102,2.169066842,0.28238845
,,,,,,,,,,,,,,,,
172,22,1,2,1,2,2,9.945434617,14.75313304,stimuli/365_zb.png,l,4.797167381,awful,0.333,2.966101695,2.165291266,0.281896912
,,,,,,,,,,,,,,,,
172,22,1,2,1,3,3,15.3543802,18.79310525,stimuli/294_za.png,a,3.428159353,awful,0.333,1.557377049,1.38473331,0.177296933
,,,,,,,,,,,,,,,,
172,22,1,2,1,4,4,19.4225116,30.28919476,stimuli/262_ya.png,l,10.85629074,ambig,0.333,5.491525424,1.7750462,0.231091332
,,,,,,,,,,,,,,,,
172,22,1,2,1,5,5,30.88239682,34.48111273,stimuli/371_zb.png,a,3.588222274,awful,0.333,3.131147541,2.085468851,0.267016925
,,,,,,,,,,,,,,,,
172,22,1,2,1,6,6,35.09397085,39.12111156,stimuli/332_zb.png,l,4.016584852,awful,0.333,2.694915254,2.002190501,0.260663001
,,,,,,,,,,,,,,,,
172,22,1,2,1,7,7,39.74922137,50.52909025,stimuli/147_ya.png,l,10.7694166,ambig,0.333,5.883333333,1.766847875,0.22809908
,,,,,,,,,,,,,,,,
172,22,1,2,1,8,8,51.13832775,55.02507971,stimuli/309_ya.png,l,3.87628,ambig,0.333,4.706896552,1.946734744,0.255618795
,,,,,,,,,,,,,,,,
172,22,1,2,1,9,9,55.64892693,64.46507768,stimuli/330_ya.png,l,8.805655154,ambig,0.333,4.796610169,2.049219036,0.266785595
,,,,,,,,,,,,,,,,
172,22,1,2,1,10,10,65.09212607,67.84909754,stimuli/233_yb.png,l,2.746126132,ambig,0.333,5.318309859,1.922973646,0.102060844
,,,,,,,,,,,,,,,,
172,22,1,2,1,11,11,68.41161389,72.98506379,stimuli/215_yb.png,l,4.562871594,ambig,0.333,5.866666667,1.466769385,0.189359113
,,,,,,,,,,,,,,,,
172,22,1,2,1,12,12,73.60558733,78.62504372,stimuli/316_za.png,a,5.009030493,awful,0.333,2.344827586,1.802062407,0.236622386
,,,,,,,,,,,,,,,,
172,22,1,2,1,13,13,79.24643727,82.44909305,stimuli/347_zb.png,l,3.192165302,awful,0.333,3.796610169,2.147810923,0.279621165
,,,,,,,,,,,,,,,,
172,22,1,2,1,14,14,83.05876969,85.8730804,stimuli/264_xa.png,l,2.803877335,harmless,0.333,6.533333333,0.947193297,0.122282129
,,,,,,,,,,,,,,,,
172,22,1,2,1,15,15,86.49018812,90.68106082,stimuli/369_za.png,l,4.180540939,awful,0.333,2.948275862,2.055565093,0.26990892
,,,,,,,,,,,,,,,,
172,22,1,2,1,16,16,91.29135776,94.31305434,stimuli/137_xa.png,l,3.011410898,harmless,0.333,6.355932203,1.094858074,0.14253838
,,,,,,,,,,,,,,,,
172,22,1,2,1,17,17,94.9549393,102.4650698,stimuli/319_ya.png,a,7.499610486,ambig,0.333,4.216666667,2.108028774,0.272145344
,,,,,,,,,,,,,,,,
172,22,1,2,1,18,18,103.0858127,118.4330564,stimuli/197_xa.png,l,15.33696079,harmless,0.333,6.779661017,0.55918033,0.072799078
,,,,,,,,,,,,,,,,
172,22,1,2,1,19,19,119.0555019,121.3210569,stimuli/115_xb.png,l,2.254983726,harmless,0.333,6.440677966,1.021681954,0.133011661
,,,,,,,,,,,,,,,,
172,22,1,2,1,20,20,121.9343148,125.6810407,stimuli/145_xa.png,l,3.736470605,harmless,0.333,6.661016949,0.822321556,0.107057148
,,,,,,,,,,,,,,,,
172,22,1,2,1,21,21,126.2913688,129.0090313,stimuli/227_xa.png,l,2.707525687,harmless,0.333,6.180327869,1.05685377,0.135316259
,,,,,,,,,,,,,,,,
172,22,1,2,1,22,22,129.5710254,133.6890433,stimuli/210_yb.png,l,4.107400995,ambig,0.333,5.557377049,1.76564049,0.226067099
,,,,,,,,,,,,,,,,
172,22,1,2,1,23,23,134.3013079,136.4810336,stimuli/150_xc.png,l,2.169084355,harmless,0.333,6.482758621,1.030097582,0.135258439
,,,,,,,,,,,,,,,,
172,22,1,2,1,24,24,137.090555,139.8490369,stimuli/149_xa.png,l,2.748280469,harmless,0.333,6.721311475,0.933294301,0.11949609
,,,,,,,,,,,,,,,,
172,22,1,2,2,1,25,149.2761214,154.3450327,stimuli/228_ya.png,l,5.058508568,ambig,0.333,5.442622951,1.793735303,0.229664272
,,,,,,,,,,,,,,,,
172,22,1,2,2,2,26,154.9739156,157.7209948,stimuli/356_za.png,a,2.736775442,awful,0.333,3.033333333,2.178217796,0.281206708
